Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Nasdaq,NASDAQ,XNAS,USA,USD,-4,09:30,16:00
New York Stock Exchange,NYSE,XNYS,USA,USD,-4,09:30,16:00
Simulation Exchange,SIM,XSIM,International,USD,+0,00:00,23:59
Asx - Trade24,SFE,XSFE,Australia,AUD,+11,10:00,16:00
Cboe Edga U.s. Equities Exchange Dark,EDGADARK,EDGD,United States,USD,-4,09:30,16:00
Clear Street,CLST,CLST,United States,USD,-4,09:30,16:00
Wall Street Access Nyc,WABR,WABR,United States,USD,-4,09:30,16:00
Marex Spectron Europe Limited - Otf,MSEL OTF,MSEL,Ireland,EUR,+0,08:00,16:30
Borsa Italiana Equity Mtf,BITEQMTF,MTAH,Italy,EUR,+1,09:00,17:25
Memx Llc Equities,MEMX,MEMX,United States,USD,-4,09:30,16:00
Natixis - Systematic Internaliser,NATX,NATX,France,EUR,+1,09:00,17:30
Currenex Ireland Mtf - Rfq,CNX MTF,ICXR,Ireland,EUR,+0,08:00,16:30
Neo Exchange - Neo-l (market By Order),NEO-L,NEOE,Canada,CAD,-4,09:30,16:00
Cboe Australia - Transferable Custody Receipt Market,CHI-X,CXAR,Australia,AUD,+11,10:00,16:00
Essex Radez Llc,GLPS,GLPS,United States,USD,-4,09:30,16:00
London Metal Exchange,LME,XLME,United Kingdom,GBP,+0,08:00,16:00
Cassa Di Compensazione E Garanzia Spa - Ccp Agricultural Commodity Derivatives,CCGAGRIDER,CGGD,Italy,EUR,+1,09:00,17:25
Toronto Stock Exchange - Drk,TSX DRK,XDRK,Canada,CAD,-4,09:30,16:00
Chicago Mercantile Exchange,CME,XCME,United States,USD,-4,09:30,16:00
Neo Connect,NEO CONNECT,NEOC,Canada,CAD,-4,09:30,16:00
Ubs Ats,UBS ATS,UBSA,United States,USD,-4,09:30,16:00
Athens Exchange - Apa,ATHEX APA,AAPA,Greece,EUR,+2,10:15,17:20
Bny Mellon - Systematic Internaliser,BNYM,BKLF,United Kingdom,GBP,+0,08:00,16:00
Bank Of Montreal - London Branch - Systematic Internaliser,BMO,BMLB,United Kingdom,GBP,+0,08:00,16:00
Financial Information Contributors Exchange,FICONEX,FICX,Germany,EUR,+1,08:00,20:00
Abn Amro Clearing Bank - Systematic Internaliser,AACB SI,ABNC,Netherlands,EUR,+1,09:00,17:40
Credit Industriel Et Commercial - Systematic Internaliser,CIC,CMCI,France,EUR,+1,09:00,17:30
Posit Rfq,RFQ,XRFQ,Ireland,EUR,+0,08:00,16:30
Aquis Exchange Plc,AQX,AQXE,United Kingdom,GBP,+0,08:00,16:00
Financial And Risk Transactions Services Ireland Limited - Fxall Rfs Mtf,FRTSIL,FXRS,Ireland,EUR,+0,08:00,16:30
Berenberg Fixed Income Uk - Systematic Internaliser,BGFU,BGFU,United Kingdom,GBP,+0,08:00,16:00
National Bank Financial Inc. - Systematic Internaliser,NBF,NBFL,United Kingdom,GBP,+0,08:00,16:00
Jpbx,JPBX,JPBX,United States,USD,-4,09:30,16:00
Miax Pearl Llc,MPRL,MPRL,United States,USD,-4,09:30,16:00
Canadian Securities Exchange,CSE LISTED,XCNQ,Canada,CAD,-4,09:30,16:00
Two Sigma Securities Llc,SOHO,SOHO,United States,USD,-4,09:30,16:00
Currenex Ldfx,CX LDFX,LCUR,United Kingdom,GBP,+0,08:00,16:00
Puma Capital Llc - Options,PUMA,PUMX,United States,USD,-4,09:30,16:00
Virtual Auction Global Markets - Mtf,VAGM MTF,VAGM,United Kingdom,GBP,+0,08:00,16:00
Miami International Holdings Inc.,MIHI,MIHI,United States,USD,-4,09:30,16:00
Cboe  Europe - Lis Service,CBOE  LIS,LISX,United Kingdom,GBP,+0,08:00,16:00
Global Securities Exchange,GSX,XGSX,United Kingdom,GBP,+0,08:00,16:00
Tw Sef Llc,TWSEF,TWSF,United States,USD,-4,09:30,16:00
Gtx Sef Llc,GTX,GTXS,United States,USD,-4,09:30,16:00
Freight Investor Services Limited,FIS,FISU,United Kingdom,GBP,+0,08:00,16:00
Six Swiss Bilateral Trading Platform For Structured Otc Products,SIX,XBTR,Switzerland,CHF,+1,09:00,17:30
Minneapolis Grain Exchange,MGE,XMGE,United States,USD,-4,09:30,16:00
Global Derivatives Exchange,GDX,XGDX,United Kingdom,GBP,+0,08:00,16:00
Bnp Paribas Securities Services London Branch - Systematic Internaliser,BP2S LB SI,BSPL,United Kingdom,GBP,+0,08:00,16:00
Cboe Europe Equities - European Equities (nl),CBOE EUROPE B.V.,CCXE,Netherlands,EUR,+1,09:00,17:40
Bnp Paribas Sa - Systematic Internaliser,BNPP SA SI,BNPS,France,EUR,+1,09:00,17:30
Tradegate Exchange - Systematic Internaliser,TGAG,TGSI,Germany,EUR,+1,08:00,20:00
Exane Bnp Paribas,EXEU,EXEU,United Kingdom,GBP,+0,08:00,16:00
Liquidnet H20,LQNT H20,LIQH,United Kingdom,GBP,+0,08:00,16:00
New York Portfolio Clearing,NYPC,NYPC,United States,USD,-4,09:30,16:00
Gemma (gilt Edged Market Makers’association),GEMMA,GEMX,United Kingdom,GBP,+0,08:00,16:00
Hudson River Trading (hrt),HRT,HRTF,United States,USD,-4,09:30,16:00
Santander Uk - Systematic Internaliser,SNUK,SNUK,United Kingdom,GBP,+0,08:00,16:00
Aquis Exchange Plc Aquis - Eix Infrastructure Bond Market,AQUIS-EIX,EIXE,United Kingdom,GBP,+0,08:00,16:00
Henex S.a.,HENEX,HEMO,Greece,EUR,+2,10:15,17:20
Jane Street Financial Ltd - Systematic Internaliser,JSF,JSSI,United Kingdom,GBP,+0,08:00,16:00
Securitised Derivatives Market,SEDEX,SEDX,Italy,EUR,+1,09:00,17:25
Rivercross Dark,RIVERX,RICD,United States,USD,-4,09:30,16:00
New York Mercantile Exchange,NYMEX,XNYM,United States,USD,-4,09:30,16:00
Commodity Exchange Inc.,COMEX,XCEC,United States,USD,-4,09:30,16:00
Intercontinental Exchange,ICE,XICE,United States,USD,-4,09:30,16:00